UnitSymbol,UnitName,MajorGroup,UnitDescri,color,Data_source,Duplicated
Cc,Crater Material,post-Orientale Group,"Crater Material, Copernican System",01abab,I-1034,TRUE
Cc,Material of Rayed Craters,Crater Materials,"Material of Rayed Craters, Copernican System",01abab,I-0948,TRUE
Cc,Material of Rayed Craters,Crater Materials,"Material of Rayed Craters, Copernican System",01abab,I-1062,TRUE
Cc,Material of Very Sharp Rimmed Rayed Craters,Crater Materials,"Material of Very Sharp Rimmed Rayed Craters, Copernican System",01abab,I-1047,TRUE
Cc,Undivided Crater Material,Undivided Crater Materials,"Undivided Crater Material, Copernican System",01abab,I-0703,FALSE
Cc,Youngest Crater Material,Materials of Primary Impact Craters and Their Secondary Craters,"Youngest Crater Material, Copernican System",01abab,I-1162,TRUE
Cc1,Crater Material,Materials of Main-Sequence Craters,"Crater Material, Copernican System, sharp topographic detail",01abab,I-0703,FALSE
Cc2,Crater Material,Materials of Main-Sequence Craters,"Crater Material, Copernican System, very sharp topographic detail",01abab,I-0703,FALSE
Ccc,Material of Crater Chain,Crater Materials,"Material of Crater Chain, Copernican System",c3bc6c,I-1062,FALSE
CEch,Material of Crater Chains and Clusters,Materials of Crater Chains and Clusters,"Material of Crater Chains and Clusters, Copernican and Eratosthenian Systems",c3bc6c,I-0703,FALSE
CEci,Irregular-Crater Material,Irregular Crater Materials,"Irregular-Crater Material, Copernican and Eratosthenian Systems",5475ba,I-0703,FALSE
CEd,Dome Material,Distinctive Materials,"Dome Material, Copernican and Eratosthenian Systems",dc565d,I-0703,FALSE
CEd,Dome Material,post-Orientale Group,"Dome Material, Copernican and Eratosthenian Systems",dc565d,I-1034,TRUE
CEhf,Hilly and Furrowed Material,Distinctive Materials,"Hilly and Furrowed Material, Copernican and Eratosthenian Systems",f68c65,I-0703,FALSE
cf,,,,ffffff,I-1062,FALSE
CId,Dark Mantling Material,Dark Materials,"Dark Mantling Material, Copernican, Eratosthenian, and Imbrian Systems",86593c,I-0703,FALSE
Cp,Plains Material,Distinctive Materials,"Plains Material, Copernican System",97c1bf,I-0703,FALSE
Csc,Secondary-Crater Material,Materials of Primary Impact Craters and Their Secondary Craters,"Secondary-Crater Material, Copernican System",9f7992,I-1162,FALSE
Ec,Crater Material,Crater Materials,"Undivided Crater Material, Eratosthenian System",01abab,I-0703,FALSE
Ec,Crater Material,post-Orientale Group,"Crater Material, Eratosthenian System",01abab,I-1034,TRUE
Ec,Crater Material Younger Than Most Mare Material,Materials of Primary Impact Craters and Their Secondary Craters,"Crater Material Younger Than Most Mare Material, Eratosthenian System",01abab,I-1162,TRUE
Ec,Material of Fresh Craters,Crater Materials,"Material of Fresh Craters, Eratosthenian System",01abab,I-1062,TRUE
Ec,Material of Fresh Nonrayed Circular Craters,Crater Materials,"Material of Fresh Nonrayed Circular Craters, Eratosthenian System",01abab,I-0948,TRUE
Ec,Material of Sharp Rimmed Craters,Crater Materials,"Material of Sharp Rimmed Craters, Eratosthenian System",01abab,I-1047,TRUE
Ecc,Material of Crater Chain,Crater Materials,"Material of Crater Chain, Eratosthenian System",c3bc6c,I-1062,FALSE
EIm,Mare Material,post-Orientale Group,"Mare Material, Eratosthenian and Imbrian Systems",f6b8bb,I-1034,FALSE
EIm,Youngest Mare Material,Mare and Other Dark Materials,"Youngest Mare Material, Eratosthenian and Imbrian Systems",f6b8bb,I-1162,TRUE
EIph,Hilly Plateau Material,post-Orientale Group,"Hilly Plateau Material, Eratosthenian and Imbrian Systems",2f8cae,I-1034,FALSE
Eld,Dark Material,Mare and Other Materials,"Dark Material, Eratosthenian or Imbrian System",86593c,I-0948,FALSE
Eld,Dark Material,Mare and Dark Mantle Materials,"Dark Material, Eratosthenian or Imbrian Systems",86593c,I-1062,TRUE
Em,Mare Material,Dark Materials,"Mare Material, Eratosthenian System",f6b8bb,I-0703,FALSE
Em,Younger Mare Material,Mare and Dark Mantle Materials,"Younger Mare Material, Eratosthenian System",f6b8bb,I-1062,TRUE
Emd,Mare Dome Material,Dark Materials,"Mare Dome Material, Eratosthenian System",dc565d,I-0703,FALSE
Emp,Mare Plateau Material,Dark Materials,"Mare Plateau Material, Eratosthenian System",2f8cae,I-0703,FALSE
Esc,Secondary-Crater Material,Materials of Primary Impact Craters and Their Secondary Craters,"Secondary-Crater Material, Eratosthenian System",9f7992,I-1162,FALSE
Ia,Alpes Formation,Basin Materials,"Alpes Formation, Imbrian System",8f9480,I-1062,FALSE
Ial,Alpes Formation,Circumbasin Materials,"Alpes Formation, Imbrian System",8f9480,I-0703,FALSE
Iap,Material of Montes Apenninus,Circumbasin Materials,"Material of Montes Apenninus, Imbrian System",6e6252,I-0703,FALSE
Ic,Material of Imbrian Craters Undivided,Crater Materials,"Material of Imbrian Craters Undivided, Imbrian System",01abab,I-1047,TRUE
